Alue;Aika;val
Ahvenanmaa;Vuosi 2020 Viikko 01;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 01;
Satakunnan SHP;Vuosi 2020 Viikko 01;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 01;
Pirkanmaan SHP;Vuosi 2020 Viikko 01;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 01;
Kymenlaakson SHP;Vuosi 2020 Viikko 01;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 01;
Etelä-Savon SHP;Vuosi 2020 Viikko 01;
Itä-Savon SHP;Vuosi 2020 Viikko 01;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 01;
Pohjois-Savon SHP;Vuosi 2020 Viikko 01;
Keski-Suomen SHP;Vuosi 2020 Viikko 01;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 01;
Vaasan SHP;Vuosi 2020 Viikko 01;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 01;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 01;
Kainuun SHP;Vuosi 2020 Viikko 01;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 01;
Lapin SHP;Vuosi 2020 Viikko 01;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 01;
Kaikki Alueet;Vuosi 2020 Viikko 01;
Ahvenanmaa;Vuosi 2020 Viikko 02;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 02;
Satakunnan SHP;Vuosi 2020 Viikko 02;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 02;
Pirkanmaan SHP;Vuosi 2020 Viikko 02;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 02;
Kymenlaakson SHP;Vuosi 2020 Viikko 02;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 02;
Etelä-Savon SHP;Vuosi 2020 Viikko 02;
Itä-Savon SHP;Vuosi 2020 Viikko 02;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 02;
Pohjois-Savon SHP;Vuosi 2020 Viikko 02;
Keski-Suomen SHP;Vuosi 2020 Viikko 02;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 02;
Vaasan SHP;Vuosi 2020 Viikko 02;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 02;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 02;
Kainuun SHP;Vuosi 2020 Viikko 02;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 02;
Lapin SHP;Vuosi 2020 Viikko 02;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 02;
Kaikki Alueet;Vuosi 2020 Viikko 02;
Ahvenanmaa;Vuosi 2020 Viikko 03;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 03;
Satakunnan SHP;Vuosi 2020 Viikko 03;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 03;
Pirkanmaan SHP;Vuosi 2020 Viikko 03;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 03;
Kymenlaakson SHP;Vuosi 2020 Viikko 03;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 03;
Etelä-Savon SHP;Vuosi 2020 Viikko 03;
Itä-Savon SHP;Vuosi 2020 Viikko 03;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 03;
Pohjois-Savon SHP;Vuosi 2020 Viikko 03;
Keski-Suomen SHP;Vuosi 2020 Viikko 03;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 03;
Vaasan SHP;Vuosi 2020 Viikko 03;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 03;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 03;
Kainuun SHP;Vuosi 2020 Viikko 03;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 03;
Lapin SHP;Vuosi 2020 Viikko 03;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 03;
Kaikki Alueet;Vuosi 2020 Viikko 03;
Ahvenanmaa;Vuosi 2020 Viikko 04;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 04;
Satakunnan SHP;Vuosi 2020 Viikko 04;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 04;
Pirkanmaan SHP;Vuosi 2020 Viikko 04;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 04;
Kymenlaakson SHP;Vuosi 2020 Viikko 04;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 04;
Etelä-Savon SHP;Vuosi 2020 Viikko 04;
Itä-Savon SHP;Vuosi 2020 Viikko 04;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 04;
Pohjois-Savon SHP;Vuosi 2020 Viikko 04;
Keski-Suomen SHP;Vuosi 2020 Viikko 04;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 04;
Vaasan SHP;Vuosi 2020 Viikko 04;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 04;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 04;
Kainuun SHP;Vuosi 2020 Viikko 04;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 04;
Lapin SHP;Vuosi 2020 Viikko 04;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 04;
Kaikki Alueet;Vuosi 2020 Viikko 04;
Ahvenanmaa;Vuosi 2020 Viikko 05;0
Varsinais-Suomen SHP;Vuosi 2020 Viikko 05;0
Satakunnan SHP;Vuosi 2020 Viikko 05;0
Kanta-Hämeen SHP;Vuosi 2020 Viikko 05;0
Pirkanmaan SHP;Vuosi 2020 Viikko 05;0
Päijät-Hämeen SHP;Vuosi 2020 Viikko 05;0
Kymenlaakson SHP;Vuosi 2020 Viikko 05;0
Etelä-Karjalan SHP;Vuosi 2020 Viikko 05;0
Etelä-Savon SHP;Vuosi 2020 Viikko 05;0
Itä-Savon SHP;Vuosi 2020 Viikko 05;0
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 05;0
Pohjois-Savon SHP;Vuosi 2020 Viikko 05;0
Keski-Suomen SHP;Vuosi 2020 Viikko 05;0
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 05;0
Vaasan SHP;Vuosi 2020 Viikko 05;0
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 05;0
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 05;0
Kainuun SHP;Vuosi 2020 Viikko 05;0
Länsi-Pohjan SHP;Vuosi 2020 Viikko 05;0
Lapin SHP;Vuosi 2020 Viikko 05;1
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 05;0
Kaikki Alueet;Vuosi 2020 Viikko 05;1
Ahvenanmaa;Vuosi 2020 Viikko 06;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 06;
Satakunnan SHP;Vuosi 2020 Viikko 06;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 06;
Pirkanmaan SHP;Vuosi 2020 Viikko 06;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 06;
Kymenlaakson SHP;Vuosi 2020 Viikko 06;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 06;
Etelä-Savon SHP;Vuosi 2020 Viikko 06;
Itä-Savon SHP;Vuosi 2020 Viikko 06;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 06;
Pohjois-Savon SHP;Vuosi 2020 Viikko 06;
Keski-Suomen SHP;Vuosi 2020 Viikko 06;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 06;
Vaasan SHP;Vuosi 2020 Viikko 06;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 06;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 06;
Kainuun SHP;Vuosi 2020 Viikko 06;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 06;
Lapin SHP;Vuosi 2020 Viikko 06;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 06;
Kaikki Alueet;Vuosi 2020 Viikko 06;
Ahvenanmaa;Vuosi 2020 Viikko 07;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 07;
Satakunnan SHP;Vuosi 2020 Viikko 07;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 07;
Pirkanmaan SHP;Vuosi 2020 Viikko 07;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 07;
Kymenlaakson SHP;Vuosi 2020 Viikko 07;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 07;
Etelä-Savon SHP;Vuosi 2020 Viikko 07;
Itä-Savon SHP;Vuosi 2020 Viikko 07;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 07;
Pohjois-Savon SHP;Vuosi 2020 Viikko 07;
Keski-Suomen SHP;Vuosi 2020 Viikko 07;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 07;
Vaasan SHP;Vuosi 2020 Viikko 07;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 07;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 07;
Kainuun SHP;Vuosi 2020 Viikko 07;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 07;
Lapin SHP;Vuosi 2020 Viikko 07;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 07;
Kaikki Alueet;Vuosi 2020 Viikko 07;
Ahvenanmaa;Vuosi 2020 Viikko 08;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 08;
Satakunnan SHP;Vuosi 2020 Viikko 08;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 08;
Pirkanmaan SHP;Vuosi 2020 Viikko 08;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 08;
Kymenlaakson SHP;Vuosi 2020 Viikko 08;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 08;
Etelä-Savon SHP;Vuosi 2020 Viikko 08;
Itä-Savon SHP;Vuosi 2020 Viikko 08;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 08;
Pohjois-Savon SHP;Vuosi 2020 Viikko 08;
Keski-Suomen SHP;Vuosi 2020 Viikko 08;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 08;
Vaasan SHP;Vuosi 2020 Viikko 08;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 08;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 08;
Kainuun SHP;Vuosi 2020 Viikko 08;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 08;
Lapin SHP;Vuosi 2020 Viikko 08;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 08;
Kaikki Alueet;Vuosi 2020 Viikko 08;
Ahvenanmaa;Vuosi 2020 Viikko 09;0
Varsinais-Suomen SHP;Vuosi 2020 Viikko 09;0
Satakunnan SHP;Vuosi 2020 Viikko 09;0
Kanta-Hämeen SHP;Vuosi 2020 Viikko 09;0
Pirkanmaan SHP;Vuosi 2020 Viikko 09;0
Päijät-Hämeen SHP;Vuosi 2020 Viikko 09;0
Kymenlaakson SHP;Vuosi 2020 Viikko 09;0
Etelä-Karjalan SHP;Vuosi 2020 Viikko 09;0
Etelä-Savon SHP;Vuosi 2020 Viikko 09;0
Itä-Savon SHP;Vuosi 2020 Viikko 09;0
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 09;0
Pohjois-Savon SHP;Vuosi 2020 Viikko 09;0
Keski-Suomen SHP;Vuosi 2020 Viikko 09;0
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 09;0
Vaasan SHP;Vuosi 2020 Viikko 09;0
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 09;1
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 09;0
Kainuun SHP;Vuosi 2020 Viikko 09;0
Länsi-Pohjan SHP;Vuosi 2020 Viikko 09;0
Lapin SHP;Vuosi 2020 Viikko 09;0
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 09;5
Kaikki Alueet;Vuosi 2020 Viikko 09;6
Ahvenanmaa;Vuosi 2020 Viikko 10;0
Varsinais-Suomen SHP;Vuosi 2020 Viikko 10;1
Satakunnan SHP;Vuosi 2020 Viikko 10;0
Kanta-Hämeen SHP;Vuosi 2020 Viikko 10;3
Pirkanmaan SHP;Vuosi 2020 Viikko 10;5
Päijät-Hämeen SHP;Vuosi 2020 Viikko 10;0
Kymenlaakson SHP;Vuosi 2020 Viikko 10;0
Etelä-Karjalan SHP;Vuosi 2020 Viikko 10;1
Etelä-Savon SHP;Vuosi 2020 Viikko 10;0
Itä-Savon SHP;Vuosi 2020 Viikko 10;0
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 10;1
Pohjois-Savon SHP;Vuosi 2020 Viikko 10;2
Keski-Suomen SHP;Vuosi 2020 Viikko 10;3
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 10;0
Vaasan SHP;Vuosi 2020 Viikko 10;0
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 10;0
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 10;1
Kainuun SHP;Vuosi 2020 Viikko 10;0
Länsi-Pohjan SHP;Vuosi 2020 Viikko 10;0
Lapin SHP;Vuosi 2020 Viikko 10;0
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 10;15
Kaikki Alueet;Vuosi 2020 Viikko 10;32
Ahvenanmaa;Vuosi 2020 Viikko 11;0
Varsinais-Suomen SHP;Vuosi 2020 Viikko 11;17
Satakunnan SHP;Vuosi 2020 Viikko 11;10
Kanta-Hämeen SHP;Vuosi 2020 Viikko 11;10
Pirkanmaan SHP;Vuosi 2020 Viikko 11;19
Päijät-Hämeen SHP;Vuosi 2020 Viikko 11;1
Kymenlaakson SHP;Vuosi 2020 Viikko 11;1
Etelä-Karjalan SHP;Vuosi 2020 Viikko 11;1
Etelä-Savon SHP;Vuosi 2020 Viikko 11;5
Itä-Savon SHP;Vuosi 2020 Viikko 11;0
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 11;2
Pohjois-Savon SHP;Vuosi 2020 Viikko 11;1
Keski-Suomen SHP;Vuosi 2020 Viikko 11;13
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 11;5
Vaasan SHP;Vuosi 2020 Viikko 11;3
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 11;2
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 11;28
Kainuun SHP;Vuosi 2020 Viikko 11;0
Länsi-Pohjan SHP;Vuosi 2020 Viikko 11;0
Lapin SHP;Vuosi 2020 Viikko 11;1
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 11;182
Kaikki Alueet;Vuosi 2020 Viikko 11;301
Ahvenanmaa;Vuosi 2020 Viikko 12;4
Varsinais-Suomen SHP;Vuosi 2020 Viikko 12;20
Satakunnan SHP;Vuosi 2020 Viikko 12;7
Kanta-Hämeen SHP;Vuosi 2020 Viikko 12;6
Pirkanmaan SHP;Vuosi 2020 Viikko 12;28
Päijät-Hämeen SHP;Vuosi 2020 Viikko 12;4
Kymenlaakson SHP;Vuosi 2020 Viikko 12;6
Etelä-Karjalan SHP;Vuosi 2020 Viikko 12;3
Etelä-Savon SHP;Vuosi 2020 Viikko 12;5
Itä-Savon SHP;Vuosi 2020 Viikko 12;1
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 12;4
Pohjois-Savon SHP;Vuosi 2020 Viikko 12;8
Keski-Suomen SHP;Vuosi 2020 Viikko 12;13
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 12;1
Vaasan SHP;Vuosi 2020 Viikko 12;11
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 12;1
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 12;12
Kainuun SHP;Vuosi 2020 Viikko 12;0
Länsi-Pohjan SHP;Vuosi 2020 Viikko 12;2
Lapin SHP;Vuosi 2020 Viikko 12;1
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 12;372
Kaikki Alueet;Vuosi 2020 Viikko 12;509
Ahvenanmaa;Vuosi 2020 Viikko 13;3
Varsinais-Suomen SHP;Vuosi 2020 Viikko 13;33
Satakunnan SHP;Vuosi 2020 Viikko 13;7
Kanta-Hämeen SHP;Vuosi 2020 Viikko 13;8
Pirkanmaan SHP;Vuosi 2020 Viikko 13;59
Päijät-Hämeen SHP;Vuosi 2020 Viikko 13;24
Kymenlaakson SHP;Vuosi 2020 Viikko 13;6
Etelä-Karjalan SHP;Vuosi 2020 Viikko 13;3
Etelä-Savon SHP;Vuosi 2020 Viikko 13;16
Itä-Savon SHP;Vuosi 2020 Viikko 13;1
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 13;4
Pohjois-Savon SHP;Vuosi 2020 Viikko 13;26
Keski-Suomen SHP;Vuosi 2020 Viikko 13;30
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 13;6
Vaasan SHP;Vuosi 2020 Viikko 13;7
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 13;1
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 13;21
Kainuun SHP;Vuosi 2020 Viikko 13;4
Länsi-Pohjan SHP;Vuosi 2020 Viikko 13;4
Lapin SHP;Vuosi 2020 Viikko 13;13
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 13;327
Kaikki Alueet;Vuosi 2020 Viikko 13;603
Ahvenanmaa;Vuosi 2020 Viikko 14;1
Varsinais-Suomen SHP;Vuosi 2020 Viikko 14;47
Satakunnan SHP;Vuosi 2020 Viikko 14;9
Kanta-Hämeen SHP;Vuosi 2020 Viikko 14;20
Pirkanmaan SHP;Vuosi 2020 Viikko 14;50
Päijät-Hämeen SHP;Vuosi 2020 Viikko 14;14
Kymenlaakson SHP;Vuosi 2020 Viikko 14;11
Etelä-Karjalan SHP;Vuosi 2020 Viikko 14;2
Etelä-Savon SHP;Vuosi 2020 Viikko 14;7
Itä-Savon SHP;Vuosi 2020 Viikko 14;7
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 14;2
Pohjois-Savon SHP;Vuosi 2020 Viikko 14;35
Keski-Suomen SHP;Vuosi 2020 Viikko 14;33
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 14;13
Vaasan SHP;Vuosi 2020 Viikko 14;9
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 14;4
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 14;23
Kainuun SHP;Vuosi 2020 Viikko 14;9
Länsi-Pohjan SHP;Vuosi 2020 Viikko 14;17
Lapin SHP;Vuosi 2020 Viikko 14;19
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 14;579
Kaikki Alueet;Vuosi 2020 Viikko 14;911
Ahvenanmaa;Vuosi 2020 Viikko 15;2
Varsinais-Suomen SHP;Vuosi 2020 Viikko 15;60
Satakunnan SHP;Vuosi 2020 Viikko 15;9
Kanta-Hämeen SHP;Vuosi 2020 Viikko 15;14
Pirkanmaan SHP;Vuosi 2020 Viikko 15;27
Päijät-Hämeen SHP;Vuosi 2020 Viikko 15;11
Kymenlaakson SHP;Vuosi 2020 Viikko 15;5
Etelä-Karjalan SHP;Vuosi 2020 Viikko 15;4
Etelä-Savon SHP;Vuosi 2020 Viikko 15;8
Itä-Savon SHP;Vuosi 2020 Viikko 15;0
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 15;5
Pohjois-Savon SHP;Vuosi 2020 Viikko 15;35
Keski-Suomen SHP;Vuosi 2020 Viikko 15;16
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 15;7
Vaasan SHP;Vuosi 2020 Viikko 15;9
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 15;4
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 15;20
Kainuun SHP;Vuosi 2020 Viikko 15;29
Länsi-Pohjan SHP;Vuosi 2020 Viikko 15;31
Lapin SHP;Vuosi 2020 Viikko 15;26
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 15;580
Kaikki Alueet;Vuosi 2020 Viikko 15;902
Ahvenanmaa;Vuosi 2020 Viikko 16;0
Varsinais-Suomen SHP;Vuosi 2020 Viikko 16;53
Satakunnan SHP;Vuosi 2020 Viikko 16;7
Kanta-Hämeen SHP;Vuosi 2020 Viikko 16;7
Pirkanmaan SHP;Vuosi 2020 Viikko 16;11
Päijät-Hämeen SHP;Vuosi 2020 Viikko 16;12
Kymenlaakson SHP;Vuosi 2020 Viikko 16;2
Etelä-Karjalan SHP;Vuosi 2020 Viikko 16;0
Etelä-Savon SHP;Vuosi 2020 Viikko 16;3
Itä-Savon SHP;Vuosi 2020 Viikko 16;1
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 16;5
Pohjois-Savon SHP;Vuosi 2020 Viikko 16;10
Keski-Suomen SHP;Vuosi 2020 Viikko 16;9
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 16;4
Vaasan SHP;Vuosi 2020 Viikko 16;6
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 16;0
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 16;8
Kainuun SHP;Vuosi 2020 Viikko 16;5
Länsi-Pohjan SHP;Vuosi 2020 Viikko 16;26
Lapin SHP;Vuosi 2020 Viikko 16;7
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 16;597
Kaikki Alueet;Vuosi 2020 Viikko 16;773
Ahvenanmaa;Vuosi 2020 Viikko 17;1
Varsinais-Suomen SHP;Vuosi 2020 Viikko 17;24
Satakunnan SHP;Vuosi 2020 Viikko 17;2
Kanta-Hämeen SHP;Vuosi 2020 Viikko 17;12
Pirkanmaan SHP;Vuosi 2020 Viikko 17;17
Päijät-Hämeen SHP;Vuosi 2020 Viikko 17;8
Kymenlaakson SHP;Vuosi 2020 Viikko 17;3
Etelä-Karjalan SHP;Vuosi 2020 Viikko 17;0
Etelä-Savon SHP;Vuosi 2020 Viikko 17;2
Itä-Savon SHP;Vuosi 2020 Viikko 17;0
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 17;1
Pohjois-Savon SHP;Vuosi 2020 Viikko 17;3
Keski-Suomen SHP;Vuosi 2020 Viikko 17;9
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 17;0
Vaasan SHP;Vuosi 2020 Viikko 17;2
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 17;0
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 17;9
Kainuun SHP;Vuosi 2020 Viikko 17;12
Länsi-Pohjan SHP;Vuosi 2020 Viikko 17;31
Lapin SHP;Vuosi 2020 Viikko 17;0
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 17;597
Kaikki Alueet;Vuosi 2020 Viikko 17;733
Ahvenanmaa;Vuosi 2020 Viikko 18;0
Varsinais-Suomen SHP;Vuosi 2020 Viikko 18;27
Satakunnan SHP;Vuosi 2020 Viikko 18;1
Kanta-Hämeen SHP;Vuosi 2020 Viikko 18;9
Pirkanmaan SHP;Vuosi 2020 Viikko 18;21
Päijät-Hämeen SHP;Vuosi 2020 Viikko 18;4
Kymenlaakson SHP;Vuosi 2020 Viikko 18;4
Etelä-Karjalan SHP;Vuosi 2020 Viikko 18;0
Etelä-Savon SHP;Vuosi 2020 Viikko 18;0
Itä-Savon SHP;Vuosi 2020 Viikko 18;0
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 18;0
Pohjois-Savon SHP;Vuosi 2020 Viikko 18;4
Keski-Suomen SHP;Vuosi 2020 Viikko 18;1
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 18;0
